# Copyright (C) Seiko Epson Corporation 2005-2006.
2006.01.23		
# ID,Value of ID,Width,Height,LM,TM,RM,BM	
A4,0,2976,4209,42,42,42,42
LT,1,3060,3960,42,42,42,42
Letter,1,3060,3960,42,42,42,42
LGL,2,3060,5040,42,42,42,42
Legal,2,3060,5040,42,42,42,42
A5,3,2098,2976,42,42,42,42
A6,4,1488,2098,42,42,42,42
B5,5,2580,3643,42,42,42,42
EXE,6,2610,3780,42,42,42,42
HLT,7,1980,3060,42,42,42,42
PANORAM,8,2976,8419,42,42,42,42
4X6,9,1610,2330,42,42,42,42
4X6FULL,10,1440,2160,42,42,42,42
INDEX5,11,1800,2880,42,42,42,42
INDEX8,12,2880,3600,42,42,42,42
8x10,12,2880,3600,42,42,42,42
PP200,14,3061,4790,42,42,42,42
L,15,1261,1800,42,42,42,42
PC,16,1417,2098,42,42,42,42
Postcard,16,1417,2098,42,42,42,42
DPC,17,2835,2098,42,42,42,42
ENV10_L,18,3420,1485,42,42,42,283
ENVC6_L,19,2296,1616,42,42,42,283
ENVDL_L,20,3118,1559,42,42,42,283
ENV5X8_L,21,3118,1871,42,42,42,283
ENVC3,22,1701,3685,42,42,42,283
ENVC4,23,1276,3161,42,42,42,283
ENVY1,24,1701,2494,42,42,42,283
ENVY2,25,1616,2296,42,42,42,283
ENVY3,26,1389,2098,42,42,42,283
ENVY4,27,1488,3331,42,42,42,283
2L,28,1800,2522,42,42,42,42
ENV10,29,1485,3420,42,42,42,283
ENVC6,30,1616,2296,42,42,42,283
ENVDL,31,1559,3118,42,42,42,283
ENV5X8,32,1871,3118,42,42,42,283
NC,33,1261,779,42,42,42,42
NC55,34,1261,779,42,42,42,42
CARD,35,765,1219,42,42,42,42
NC91,36,780,1290,42,42,42,42
4X7,43,1440,2560,42,42,42,42
A3+,61,4663,6846,42,42,42,42
A3,62,4209,5953,42,42,42,42
B4,63,3643,5159,42,42,42,42
USB,64,3960,6120,42,42,42,42
11X14,65,3960,5040,42,42,42,42
10X12,69,3600,4320,42,42,42,42
12X12,70,4320,4320,42,42,42,42
UNKNOWN,-2,2976,4209,42,42,42,42
